ngram,freq,cumshare,en
ויזלטיר,2198,0.662,Wieseltier
העוסקים,2198,0.662,the dealers
אשרי,2197,0.662,happy
המורים,2197,0.662,the teachers
מוסא,2197,0.662,Musa
מאותה,2197,0.662,from her
ולפעמים,2197,0.662,and sometimes
תרשים,2197,0.662,chart
לופז,2196,0.662,Lopez
גמר,2196,0.662,final
לשום,2196,0.662,for garlic
פלשתינאים,2195,0.662,Palestinians
המדבר,2195,0.662,desert
משפיע,2194,0.662,influencing
כוסית,2194,0.662,shot
רחוב,2194,0.662,street
ופתאום,2194,0.662,and suddenly
הכלכלית,2194,0.662,the economic
בולט,2194,0.662,prominent
מבקשת,2194,0.662,asking for
המאמרים,2193,0.662,the articles
הטייסים,2193,0.662,the pilots
האירועים,2193,0.662,the events
הפרטים,2193,0.662,the details
בחכמה,2193,0.663,wisely
בשמים,2192,0.663,in the sky
היין,2192,0.663,the wine
תלמידיו,2192,0.663,his students
לדחות,2192,0.663,delay
בעיתונות,2192,0.663,in the press
שכאשר,2191,0.663,that when
הפה,2190,0.663,the mouth
אחרא,2190,0.663,after
תרמוא,2189,0.663,cheat
באיסור,2189,0.663,in the ban
לאסור,2189,0.663,prohibit
לכו,2188,0.663,go
להוויה,2188,0.663,to being
בקולנוע,2186,0.663,in the cinema
המוסריים,2186,0.663,the moral
הייצוג,2186,0.663,the representation
כשחזרתי,2186,0.663,when i came back
יואל,2186,0.663,Joel
סיס,2185,0.663,groom
הרגע,2185,0.663,calm down
שצ'רנסקי,2185,0.663,Shcheransky
במגוון,2185,0.663,in variety
החול,2184,0.663,the sand
להציע,2184,0.663,offer
סוציאליסטית,2183,0.663,socialist
פלסטין,2183,0.663,Palestine
רמאיו,2183,0.663,cheaters
ייחודית,2182,0.664,unique
ירחא,2181,0.664,Yerha
באינטרנט,2181,0.664,on the internet
התנאי,2181,0.664,condition
תורתו,2181,0.664,his teachings
לח,2181,0.664,damp
המחזות,2181,0.664,the plays
נעוצות,2180,0.664,stuck
לשיטת,2180,0.664,to the method
נקי,2180,0.664,net
הצרכן,2180,0.664,the consumer
חיוך,2180,0.664,smile
ההצגה,2180,0.664,the show
שילוב,2179,0.664,combination
לכמה,2179,0.664,for how many
מהות,2179,0.664,essence
עבודות,2179,0.664,jobs
בכנסייה,2178,0.664,in the church
הפואטיקה,2178,0.664,the poetics
מעיד,2177,0.664,testifying
והרמב,2177,0.664,and the Rambam
קדם,2177,0.664,pre
נהנה,2177,0.664,enjoy
לנהל,2177,0.664,to manage
הנאשם,2176,0.664,the accused
שבועה,2176,0.664,oath
ביתר,2176,0.664,more
ימינו,2176,0.664,our days
לדעתי,2175,0.664,in my opinion
במחירים,2175,0.665,in prices
אגדה,2175,0.665,legend
רפאל,2175,0.665,Raphael
נכנסו,2174,0.665,entered
במחקרים,2174,0.665,in studies
הפינוי,2173,0.665,the evacuation
עמם,2173,0.665,muffler
רשימות,2172,0.665,lists
מעמדית,2172,0.665,Classy
הזהב,2172,0.665,the gold
ועיקר,2172,0.665,and most importantly
בעמוד,2171,0.665,on the page
חילוק,2171,0.665,division
המחוזי,2170,0.665,the district
קושי,2170,0.665,difficulty
מבעוד,2170,0.665,before
יוצאי,2169,0.665,come out
בעינן,2169,0.665,in their eyes
מונטיפיורי,2168,0.665,Montefiore
הביטה,2167,0.665,looked
סיפרה,2166,0.665,told
הירש,2166,0.665,Hirsch
פסיקתו,2165,0.665,his ruling
בבחירות,2165,0.665,in the elections
מאמינים,2165,0.665,believe
לנוכח,2164,0.665,in the presence of
הדמיון,2164,0.665,the imagination
מעלות,2164,0.665,degrees
בשכונה,2164,0.665,in the neighborhood
המוכר,2164,0.666,seller
מאותו,2164,0.666,from him
מכתבים,2163,0.666,letters
תפישה,2163,0.666,conception
ההלכתית,2163,0.666,the halachic
האמיתית,2163,0.666,the real one
גולני,2162,0.666,Golani
מרחב,2162,0.666,space
שיוכלו,2160,0.666,that they can
סגנו,2159,0.666,his deputy
הקבע,2159,0.666,set
אייכ,2159,0.666,Eich
בדיקה,2159,0.666,examination
עי,2159,0.666,Ai
"הר""ן",2158,0.666,R.N
"ר""י",2158,0.666,R. I
ובלתי,2158,0.666,and not
המצווה,2158,0.666,the commandment
סימנים,2158,0.666,signs
סגולה,2157,0.666,virtue
מודל,2157,0.666,model
הקבוצות,2157,0.666,the groups
מכבי,2157,0.666,Maccabi
לשוניים,2156,0.666,linguistic
השבועון,2156,0.666,the weekly
המשתנה,2156,0.666,the variable
הדפוס,2155,0.666,the pattern
במקומה,2155,0.666,in her place
במסדרונות,2155,0.666,in the corridors
רפול,2154,0.667,Rapoul
הרביזיוניסטית,2154,0.667,the revisionist
שיחות,2154,0.667,conversations
מעטפה,2154,0.667,envelope
נוטה,2154,0.667,inclined
שירת,2154,0.667,served
חלל,2153,0.667,space
שעשו,2153,0.667,who did
הכדורסל,2153,0.667,the basketball
אסורה,2153,0.667,forbidden
יכלה,2152,0.667,she could
ניצחון,2152,0.667,victory
כאמל,2152,0.667,Kamal
המרכיבים,2152,0.667,the ingredients
איתם,2152,0.667,with them
וירא,2151,0.667,and see
אצילות,2151,0.667,nobility
במקצת,2150,0.667,somewhat
הזכות,2149,0.667,the right
הרדיקלי,2148,0.667,the radical
פטירתו,2148,0.667,his passing
הרנסנס,2147,0.667,the renaissance
הרומנטית,2147,0.667,the romantic
המנהג,2146,0.667,the custom
רבדל,2146,0.667,Rabdal
שהקב,2146,0.667,that the
חוקים,2145,0.667,rules
טושפ,2145,0.667,Toshp
היסטוריה,2145,0.667,history
מנדל,2145,0.668,Mendel
יעילה,2144,0.668,effective
לניצחון,2144,0.668,for victory
ההברה,2143,0.668,the syllable
טיפוס,2143,0.668,typhus
ההערכה,2143,0.668,the evaluation
ציונים,2142,0.668,scores
מחזור,2142,0.668,cycle
בטלפון,2142,0.668,on the phone
םתוא,2141,0.668,wrong
שנכתבו,2140,0.668,that were written
הסגל,2140,0.668,the staff
לתפוס,2140,0.668,to fetch
לחברה,2139,0.668,to the company
מאפשרת,2139,0.668,allows
המרחב,2138,0.668,the space
פאס,2138,0.668,pass
החירום,2138,0.668,the emergency
התיכוניים,2138,0.668,the high schools
תאי,2137,0.668,cellular
זוגות,2137,0.668,couples
המוסלמיות,2136,0.668,Islamism
התכנון,2136,0.668,the planning
צחי,2136,0.668,Chechi
משבר,2136,0.668,crisis
לחיי,2135,0.668,to my life
היבם,2135,0.668,the howl
בזו,2135,0.668,in this
להצטרף,2134,0.668,join
הלכתית,2134,0.669,Halachically
פהות,2134,0.669,mouths
דפוסי,2134,0.669,patterns
אנדי,2134,0.669,Andy
לסס,2134,0.669,hesitate
צר,2134,0.669,narrow
בכנסת,2133,0.669,in the Knesset
האריז,2133,0.669,Ariza
עמדותיהם,2133,0.669,their positions
האתר,2133,0.669,the site
בכור,2131,0.669,firstborn
שטרם,2131,0.669,not yet
במחשבה,2131,0.669,in thought
לשתות,2130,0.669,drink up
הדרוש,2130,0.669,the necessary
בפאס,2130,0.669,in Fez
יושבים,2130,0.669,sitting
שמעו,2130,0.669,heard
הקואליציוני,2128,0.669,the coalition
דא,2128,0.669,da
"רמב""ם",2128,0.669,Rambam
טראומה,2128,0.669,trauma
הסתכלה,2127,0.669,looked
בקלות,2127,0.669,easily
האידיאולוגיה,2126,0.669,the ideology
ימצא,2126,0.669,will find
אדון,2126,0.669,sir
מסוגלים,2126,0.669,capable
הצפון,2126,0.669,the north
הנדר,2125,0.67,the vow
אברמוביץ',2125,0.67,Abramovich
פילוסופי,2125,0.67,philosophical
לרשות,2125,0.67,to the disposal
אק,2125,0.67,Ac
נינה,2124,0.67,Nina
כיהודי,2124,0.67,as a Jew
םירבד,2124,0.67,Shirbad
הסיור,2124,0.67,the tour
בפרספקטיבה,2124,0.67,in perspective
הפילוסופיה,2123,0.67,the philosophy
הריהי,2123,0.67,here it is
פיגוע,2122,0.67,an attack
ליהדות,2122,0.67,to Judaism
בראשו,2122,0.67,in his head
בשינוי,2122,0.67,in change
הגורמים,2121,0.67,the factors
בתנועת,2121,0.67,in movement
"וכ""כ",2121,0.67,and so on
הובס,2121,0.67,was defeated
מטבע,2120,0.67,currency
הערך,2120,0.67,the value
לבל,2120,0.67,for no reason
מקצועות,2120,0.67,professions
רמה,2120,0.67,level
הרומי,2120,0.67,the roman
עתיק,2120,0.67,ancient
ימיו,2120,0.67,his days
הנאמן,2120,0.67,the trustee
סיכוי,2119,0.67,chance
אגרנט,2119,0.671,Garnet
עצים,2119,0.671,trees
שקיים,2118,0.671,that exists
נובעת,2118,0.671,stems from
ספרותיות,2118,0.671,literature
איילון,2118,0.671,Ayalon
ברויאר,2118,0.671,Breuer
םעפ,2118,0.671,branch
נראים,2117,0.671,are seen
לתהליך,2117,0.671,to the process
לקולנוע,2116,0.671,to the cinema
בארגנטינה,2116,0.671,in Argentina
השיפוטי,2116,0.671,the judicial
ניהול,2115,0.671,management
המוח,2115,0.671,the brain
ליישובים,2115,0.671,to settlements
השערות,2115,0.671,hypotheses
בשמו,2115,0.671,in his name
מדד,2114,0.671,measure
חלופות,2114,0.671,alternatives
מסכים,2114,0.671,agree
עז,2114,0.671,goat
עוברים,2114,0.671,passing
המין,2113,0.671,the sex
השמשות,2113,0.671,the suns
באזורים,2113,0.671,in the regions
הריאלי,2113,0.671,the real
שאפיינו,2112,0.671,characterized by
הדדית,2112,0.671,mutually
הרוסיים,2111,0.672,the russians
האידאולוגית,2111,0.672,the ideological
"י""ד",2111,0.672,hand
החודש,2111,0.672,the month
המפלגות,2110,0.672,the parties
דאף,2110,0.672,Duff
דינא,2110,0.672,Dina
הקיימים,2110,0.672,the existing ones
מתקיימת,2110,0.672,takes place
מקצוע,2110,0.672,profession
שטחי,2110,0.672,superficial
ציור,2109,0.672,drawing
שרוצה,2108,0.672,who wants
"ו""ק",2108,0.672,and K
המשורר,2108,0.672,the poet
סיבות,2108,0.672,reasons
הבעלים,2108,0.672,owner
התלהב,2108,0.672,got excited
חנקין,2108,0.672,Hankin
המיעוט,2107,0.672,the minority
הרכבת,2107,0.672,the train
שעברו,2106,0.672,passed
מורכבת,2106,0.672,complex
וכדי,2105,0.672,and to
לנדאו,2105,0.672,Landau
עמנו,2105,0.672,with us
המקראית,2105,0.672,the biblical
במבצע,2104,0.672,on sale
ידועה,2104,0.672,known
בנובמבר,2104,0.672,in November
סגל,2104,0.673,staff
מנהיג,2103,0.673,leader
בהולנד,2103,0.673,in Holland
שלכם,2103,0.673,your
המגבית,2103,0.673,the towel
לכהן,2102,0.673,serve as
מפה,2102,0.673,from here
ההנחה,2102,0.673,the assumption
"בעוה""ז",2102,0.673,at the moment
השומרון,2102,0.673,Samaria
הרבני,2102,0.673,the rabbi
פרסום,2102,0.673,advertising
תמורת,2101,0.673,for
"עי""ש",2101,0.673,Wain
שנועד,2101,0.673,intended for
להורות,2100,0.673,instruct
התושבים,2100,0.673,the residents
לרדת,2100,0.673,down
בשיטה,2100,0.673,method
המאורעות,2099,0.673,the events
מכונית,2099,0.673,car
הברכות,2099,0.673,the blessings
חלום,2099,0.673,dream
הירשפלד,2098,0.673,Hirschfeld
וישראל,2098,0.673,and Israel
ההנצחה,2097,0.673,the commemoration
חשבונות,2097,0.673,accounts
"הרח""ה",2097,0.673,sniffing
ציבוריים,2096,0.673,public
בטוחה,2096,0.673,sure
המקצועיים,2095,0.674,the professionals
יהודייה,2095,0.674,a Jewess
בלבו,2095,0.674,in his heart
במפלגת,2095,0.674,in the party
הזדהות,2094,0.674,identification
הקורבן,2094,0.674,the victim
שכיהן,2094,0.674,served
נייר,2093,0.674,paper
שמיר,2093,0.674,dill
מוסלמי,2093,0.674,Moslem
באב,2093,0.674,in the father
הניאו,2093,0.674,the neo
מכה,2093,0.674,blow
הבסיסי,2093,0.674,the basic
ההנהלה,2092,0.674,the management
בקבוצה,2092,0.674,in the group
החוף,2092,0.674,beach
יליד,2092,0.674,aborigine
לוועד,2091,0.674,to the committee
הקשבתי,2091,0.674,I listened
המשיכו,2091,0.674,continue
הביקורתי,2091,0.674,the critical
כנסיית,2090,0.674,church
במקור,2089,0.674,originally
ןמז,2088,0.674,Nmz
לכדי,2088,0.674,to
הלגיון,2087,0.674,the legion
שוטפים,2087,0.674,washing
שניתנה,2087,0.674,given
רווחה,2087,0.674,welfare
מדינית,2087,0.675,political
הסוציאליים,2087,0.675,the social
לצבא,2087,0.675,to the army
זקוק,2086,0.675,in need
המקרה,2086,0.675,the case
יחדיו,2086,0.675,together
ההתנגדות,2085,0.675,the resistance
הטראומה,2085,0.675,the trauma
מאבק,2085,0.675,struggle
מודרני,2084,0.675,modern
ברוסית,2084,0.675,in Russian
האיגוד,2083,0.675,the union
ברדיו,2083,0.675,on the radio
נסענו,2083,0.675,we traveled
אשי,2083,0.675,Ashy
הבת,2083,0.675,the daughter
הכיר,2082,0.675,knew
סנש,2082,0.675,Sensh
לבריטים,2082,0.675,to the British
נדפס,2082,0.675,printed
חרישי,2081,0.675,soft
להפסיק,2081,0.675,stop
המעיין,2081,0.675,the spring
לברוח,2081,0.675,escape
דיוקן,2081,0.675,portrait
רומנטית,2081,0.675,romantic
חס,2081,0.675,Chas
אווירית,2081,0.675,aerial
לעוה,2081,0.675,frown
דבריהם,2080,0.675,their words
הבדואים,2080,0.676,the bedouins
עניינים,2080,0.676,matters
החשוב,2080,0.676,the important
לנצח,2079,0.676,win
בבונקר,2079,0.676,in the bunker
המיטה,2079,0.676,bed
כדוגמת,2079,0.676,for example
"הריטב""א",2079,0.676,Hritba
עובדות,2078,0.676,facts
הדרישה,2078,0.676,the requirement
בריכת,2078,0.676,a pool
הביטוח,2078,0.676,the insurance
זא,2078,0.676,Za
התקיימו,2077,0.676,existed
התאמה,2076,0.676,match
בקרקוב,2076,0.676,in Krakow
מלווה,2076,0.676,accompanied
המטופל,2076,0.676,patient
המוצרים,2076,0.676,the products
למחצה,2076,0.676,half
לחוד,2075,0.676,separately
שוה,2075,0.676,par
פער,2075,0.676,gap
ואומרים,2074,0.676,and say
ובכן,2074,0.676,well
רש,2074,0.676,Resh
רגליו,2074,0.676,his legs
במישור,2074,0.676,in the plain
דותן,2074,0.676,Dotan
בדעתו,2074,0.676,in his mind
כתיבה,2073,0.677,writing
כרוכה,2072,0.677,bound
הארצישראלי,2072,0.677,The Land of Israel
בקר,2071,0.677,beef
התחילו,2071,0.677,started
המידות,2071,0.677,the measurements
הפקידות,2070,0.677,the clerkships
הבדואי,2070,0.677,Bedouin
הפרקליטות,2070,0.677,the prosecutor's office
שחקן,2069,0.677,player
לבעל,2069,0.677,to the husband
הסוכה,2069,0.677,the sukkah
בערכים,2069,0.677,in values
הסוטה,2069,0.677,the deviant
הממלכתיים,2068,0.677,the state
גלות,2068,0.677,exile
שדווקא,2068,0.677,indeed
בליטא,2068,0.677,in Lithuania
מחתרת,2067,0.677,underground
והערה,2067,0.677,and a comment
המהפכה,2067,0.677,the revolution
ריבית,2067,0.677,interest
הלייבור,2066,0.677,labour
מהנהן,2066,0.677,nodding
לשלב,2066,0.677,combine
פותח,2066,0.677,opener
לטובה,2066,0.677,for the better
הפעלים,2065,0.677,the verbs
בצל,2065,0.677,onion
לייב,2065,0.677,live
חוות,2065,0.678,farms
תוצר,2065,0.678,product
בתקופות,2065,0.678,in periods
ברנר,2065,0.678,Brenner
נמרוד,2065,0.678,Nimrod
הבימה,2064,0.678,the stage
המגדרי,2064,0.678,the gender
זיכרונו,2063,0.678,his memory
דרש,2062,0.678,demanded
"כ""ק",2062,0.678,K.K
לצומת,2062,0.678,to the intersection
עומק,2061,0.678,depth
חיילת,2061,0.678,a soldier
השיעים,2061,0.678,The Shiites
הממצאים,2060,0.678,the findings
טהור,2060,0.678,pure
הירדנים,2060,0.678,The Jordanians
האיגודים,2059,0.678,the unions
הרמבים,2059,0.678,The Rabbis
ביקשה,2059,0.678,asked for
נאמנות,2059,0.678,loyalty
דודה,2059,0.678,aunt
בגרמנית,2058,0.678,in german
וחירותו,2058,0.678,and his freedom
לגוף,2058,0.678,to the body
בקומראן,2058,0.678,in Qumran
בשטחים,2058,0.678,in the territories
עונש,2058,0.678,punishment
המשיבים,2057,0.678,the respondents
מוגדרת,2057,0.678,defined
בהיסטוריה,2057,0.679,in history
סוקולוב,2057,0.679,Sokolov
עפר,2057,0.679,dirt
הרחבה,2057,0.679,expansion
קונה,2056,0.679,buyer
הסכמה,2056,0.679,agreement
אדוני,2056,0.679,the lord
מושגית,2056,0.679,conceptually
אהיה,2056,0.679,I will be
אנדרטה,2056,0.679,monument
הפרשה,2055,0.679,the affair
המשוררת,2055,0.679,the poet
הובא,2055,0.679,was brought
מוסוליני,2055,0.679,Mussolini
לודז',2055,0.679,Lodz
הגאוגרפי,2055,0.679,the geographic
הפרויקט,2055,0.679,the project
רם,2054,0.679,loud
הנחקרים,2054,0.679,the interrogated
דחכמה,2054,0.679,push
רתויב,2054,0.679,rehydrated
שלישית,2054,0.679,third
זוהר,2054,0.679,Glamor
קליטתם,2054,0.679,you received it
הפתח,2054,0.679,the opening
סגנית,2054,0.679,deputy
ואיש,2054,0.679,and man
יוסיפון,2054,0.679,Josephine
קומת,2053,0.679,floor
שתים,2053,0.679,two
עמהם,2053,0.679,with them
הבקרה,2053,0.68,the control
בקרוב,2053,0.68,soon
הנמצא,2052,0.68,which is
התוצאה,2052,0.68,the result
פירושה,2052,0.68,means
מקלעים,2052,0.68,machine guns
פלשתינה,2051,0.68,Palestine
קודמת,2051,0.68,previous
להחמיר,2050,0.68,aggravate
ציוני,2050,0.68,Zionist
הרכב,2050,0.68,composition
המחלוקת,2050,0.68,the dispute
כוהן,2050,0.68,priest
ענפי,2049,0.68,branches
קירקגור,2049,0.68,Kierkegaard
מקבלי,2049,0.68,receivers
התוסי,2049,0.68,The Tussi
לפירוש,2048,0.68,to interpret
המקומי,2048,0.68,the local
בבודפשט,2047,0.68,in Budapest
תהיתי,2047,0.68,I wondered
פירושים,2047,0.68,interpretations
והפוליטיים,2047,0.68,and the political ones
שיקום,2046,0.68,rehabilitation
אהרון,2046,0.68,Aaron
שישראל,2046,0.68,that Israel
רוסו,2046,0.68,Rousseau
וחוזר,2046,0.68,and returns
"בכי""ו",2045,0.68,26
"א""ר",2045,0.68,AR
מילות,2045,0.681,words
דמוקרטיים,2045,0.681,democratic
תשתית,2044,0.681,infrastructure
הפנטזיה,2044,0.681,the fantasy
הג'יהאד,2044,0.681,the jihad
נאסר,2044,0.681,banned
הרבנית,2044,0.681,the rabbi
החיות,2044,0.681,the animals
להרה,2043,0.681,to conceive
נותרו,2043,0.681,left
נועד,2042,0.681,intended
הממשלתיים,2042,0.681,the governmental ones
אצלי,2041,0.681,by me
דגש,2041,0.681,emphasis
הפנתרים,2041,0.681,the panthers
יעדי,2040,0.681,my goals
לשכנע,2040,0.681,convince
דאריך,2040,0.681,Darich
חיצונית,2040,0.681,externally
ליטא,2039,0.681,Lithuania
גולומב,2039,0.681,Golomb
לקהיר,2039,0.681,to Cairo
היובלים,2039,0.681,the tributaries
הנהג,2038,0.681,the driver
קבר,2038,0.681,grave
לאל,2038,0.681,to God
קיומה,2038,0.681,existence
הקווים,2037,0.681,the lines
ג'וני,2037,0.681,Johnny
נרות,2036,0.681,candles
ההליך,2036,0.681,the procedure
גב,2036,0.682,back
משנות,2036,0.682,changes
חטיבות,2036,0.682,divisions
משכתי,2036,0.682,I pulled
"הפת""ח",2036,0.682,The Fatah
יבא,2035,0.682,will come
האווירה,2035,0.682,the atmosphere
בעוה,2035,0.682,in a moment
הראויה,2035,0.682,the proper
נתבאר,2034,0.682,Let's explain
מהדעת,2034,0.682,from the mind
שעוד,2033,0.682,that more
הערכים,2032,0.682,the values
הראייש,2032,0.682,the raishi
יסודי,2031,0.682,thorough
הלוחמים,2031,0.682,the warriors
הודיע,2031,0.682,informed
עצמאי,2031,0.682,independent
בשימוש,2031,0.682,used
ביירות,2030,0.682,Beirut
מכוניתו,2030,0.682,his car
הקיים,2030,0.682,the existing
סקר,2030,0.682,survey
עצמות,2029,0.682,bones
יומיים,2029,0.682,two days
הגמלאים,2029,0.682,the pensioners
אוי,2029,0.682,oh
המוצב,2029,0.682,the post
הריכוז,2029,0.682,the concentration
שאליה,2029,0.682,to her
הערים,2028,0.682,the cities
בהקדמה,2028,0.683,in the introduction
למציאות,2028,0.683,to reality
חששתי,2028,0.683,I was afraid
אחראי,2028,0.683,in charge of
לף,2028,0.683,Lef
גויטיין,2027,0.683,Guitein
אבו,2027,0.683,Abu
גבריאלה,2027,0.683,Gabriela
שחל,2027,0.683,an ovary
עיונית,2027,0.683,theoretical
מעוררת,2026,0.683,arousing
שדרות,2026,0.683,Sderot
עייכ,2025,0.683,get tired
המוזרה,2025,0.683,the strange
עקרונית,2025,0.683,in principle
הפלשתים,2024,0.683,The Philistines
בנושאים,2024,0.683,on subjects
במליאת,2024,0.683,in the plenary
שומרי,2024,0.683,keeper
בשירו,2024,0.683,in his poem
במונית,2023,0.683,in a taxi
המצרים,2023,0.683,the egyptians
הבונד,2023,0.683,The Bond
ההיערכות,2023,0.683,the preparation
מרכיבים,2023,0.683,ingredients
ששני,2023,0.683,that Monday
הקליטה,2023,0.683,the reception
העליה,2023,0.683,the rise
בהצעת,2022,0.683,in the proposal
העצים,2022,0.683,the trees
השחקן,2022,0.683,the player
זמנו,2021,0.684,its time
הפארק,2021,0.684,the park
פאלאג,2020,0.684,Palag
לחצר,2020,0.684,to the yard
רעיונות,2019,0.684,ideas
הנצי,2019,0.684,the hawk
פותחת,2019,0.684,opens
הרחב,2019,0.684,the wide
מוסה,2019,0.684,muse
צבע,2018,0.684,color
שלימה,2018,0.684,Shlima
בקוראן,2018,0.684,in the Koran
שיתפו,2018,0.684,shared
במחסום,2018,0.684,at the checkpoint
הבריטיים,2017,0.684,the british
תראה,2017,0.684,look
עקרון,2017,0.684,principle
ופיתוח,2017,0.684,and development
הארמון,2016,0.684,the palace
הנבואי,2016,0.684,the prophetic
םתא,2016,0.684,St
צורכי,2016,0.684,my needs
השריעה,2016,0.684,Sharia
"כ""א",2016,0.684,21
לשאלת,2015,0.684,to ask
בהרחבה,2015,0.684,in detail
ובעל,2014,0.684,and husband
הנבואית,2013,0.684,the prophetess
לוקר,2013,0.684,Locker
לוועדה,2013,0.684,to the committee
איהש,2012,0.684,Ihash
מטטרון,2012,0.685,Metatron
מברך,2011,0.685,congratulating
ותואב,2011,0.685,and wash
ההנהגה,2011,0.685,the leadership
בסוגיית,2010,0.685,in the issue
המידה,2010,0.685,the measure
השליחים,2010,0.685,the apostles
שהציונות,2010,0.685,that Zionism
נמוכה,2010,0.685,low
קפצתי,2010,0.685,i jumped
מהרה,2010,0.685,quickly
המטה,2009,0.685,headquarters
"ואע""פ",2009,0.685,and so on
הפלסטיניות,2009,0.685,Palestine
דרכה,2008,0.685,through her
קריית,2008,0.685,Kiryat
זווג,2008,0.685,mating
מסע,2008,0.685,a journey
זוכים,2008,0.685,winners
בפרלמנט,2006,0.685,in parliament
בנייה,2006,0.685,building
בכתבי,2006,0.685,in my writings
לממד,2006,0.685,to dimension
קטיף,2006,0.685,harvest
באנגליה,2006,0.685,in England
לעצב,2005,0.685,to design
שנעשו,2005,0.685,that were done
ספרותיים,2005,0.685,literary
בסביבה,2005,0.685,around
תשעה,2004,0.685,nine
אלנבי,2003,0.685,Allenby
הפסקת,2003,0.686,you stopped
האידאולוגיות,2003,0.686,the ideologies
הגייר,2003,0.686,the convert
לתקופה,2003,0.686,for the period
ימ,2003,0.686,day
בגון,2003,0.686,in a manner
גיבורו,2003,0.686,his hero
מאזין,2003,0.686,listener
בינוי,2003,0.686,construction
ראייה,2002,0.686,vision
אישתו,2002,0.686,his wife
ושירותים,2002,0.686,and toilets
חשמל,2001,0.686,electrical power
בעיניים,2001,0.686,in the eyes
ההצלה,2001,0.686,the rescue
לפקודת,2001,0.686,to the command
תאמר,2000,0.686,say
מילר,2000,0.686,Miller
להאיר,1999,0.686,illuminate
תמר,1999,0.686,Tamar
נזכרת,1999,0.686,you remember
בחוג,1999,0.686,in the circle
התמיכה,1999,0.686,the support
המבחן,1999,0.686,the test
ההיכלות,1998,0.686,the faculties
הגורם,1997,0.686,the cause
בפלשתינה,1996,0.686,in Palestine
למנות,1996,0.686,appoint
עמוס,1995,0.686,Amos
המחוקק,1995,0.686,the legislator
םושמ,1995,0.686,sesame
פיורדא,1995,0.687,Fiorda
מצבתו,1995,0.687,his tombstone
בבלי,1995,0.687,Babylonian
התמקדה,1994,0.687,focused
פרידריך,1994,0.687,Friedrich
זעיר,1994,0.687,tiny
אישיות,1993,0.687,personality
ההונגרי,1993,0.687,The Hungarian
בטרנסניסטריה,1993,0.687,in Transnistria
המשטרים,1992,0.687,the regimes
הגזענות,1992,0.687,racism
דיכטר,1992,0.687,Dichter
אראגון,1991,0.687,Aragon
לשיטתו,1991,0.687,according to his method
עולמו,1991,0.687,his world
בוהה,1991,0.687,staring
נפתח,1990,0.687,opened
החזבאללה,1990,0.687,Hezbollah
המתיחות,1990,0.687,the tension
והשימ,1990,0.687,and put
עמיקם,1989,0.687,Amikam
כלליים,1989,0.687,general
עלולה,1989,0.687,may
העומר,1988,0.687,The Omar
לשפר,1987,0.687,to improve
שעמדה,1986,0.687,that stood
יגיע,1986,0.687,arrive
והשירותים,1986,0.687,and the services
יקירתי,1986,0.687,darling
הכותבת,1985,0.687,the writer
אפשרויות,1985,0.687,options
בקרבות,1985,0.688,in battles
תבוא,1984,0.688,come
ברייתא,1984,0.688,Bariata
מרגישה,1984,0.688,feeling
שאיננו,1984,0.688,that we are not
בעיריית,1984,0.688,at the municipality
הרצפה,1984,0.688,the floor
האפשר,1983,0.688,the possible
תרופות,1983,0.688,medicines
להעניק,1983,0.688,grant
מרצועת,1983,0.688,from a strip
הנשק,1982,0.688,the weapon
במבט,1982,0.688,in a look
לבגדאד,1982,0.688,to Baghdad
מבוססים,1982,0.688,based
הועדה,1982,0.688,the committee
ישנו,1981,0.688,sleep
קונפליקט,1981,0.688,conflict
הסולידריות,1981,0.688,solidarity
"כיו""ר",1981,0.688,Washbasin
מוציא,1981,0.688,brings out
ואסור,1981,0.688,and forbidden
רביצקי,1981,0.688,Ravitzky
המכללות,1981,0.688,the colleges
רישיון,1981,0.688,license
חיצוניים,1981,0.688,external
נציגי,1981,0.688,representatives
באירוניה,1980,0.688,ironically
בשלמותה,1980,0.688,in its entirety
שהממשלה,1980,0.688,that the government
הילע,1980,0.688,Hila
לפניהם,1979,0.688,in front of them
אנחת,1979,0.689,sigh
קדיש,1978,0.689,Kaddish
אמד,1978,0.689,measured
הנס,1978,0.689,the miracle
הברזל,1978,0.689,the iron
ביקורתי,1978,0.689,critical
עליכם,1977,0.689,on you
התסריט,1977,0.689,the script
במוצאי,1977,0.689,on my way out
כלול,1977,0.689,included
ונתוא,1976,0.689,and we will
המפרץ,1976,0.689,the bay
אלוהב,1976,0.689,a lover
למעמד,1976,0.689,for class
בעריכת,1976,0.689,editing
עצה,1976,0.689,advice
הבכי,1976,0.689,the cry
הריין,1975,0.689,the Rhine
אידאולוגיים,1975,0.689,ideological
הד,1975,0.689,echo
השלם,1975,0.689,complete
"ת""ת",1975,0.689,sub
קצה,1974,0.689,end
אצבעותיה,1974,0.689,her fingers
עצמאות,1974,0.689,independence
רביעי,1974,0.689,Wednesday
הספה,1973,0.689,the sofa
כיתה,1973,0.689,classroom
תגובות,1972,0.689,comments
ירידה,1972,0.689,down
ארוחת,1972,0.689,a meal
דרבי,1972,0.689,Derby
הארכיאולוגי,1972,0.69,the archeological
מהדורה,1972,0.69,edition
רעייתו,1971,0.69,his wife
במחזות,1971,0.69,in plays
הקפיטליזם,1971,0.69,capitalism
נירנברג,1971,0.69,Nuremberg
